                   t       v     dv  
                 0.0    25.4    8.4  
  0.9031999999999982   -23.3   16.7  
  1.8867000000000047     1.9   11.7  
   2.980699999999999   -29.6   16.2  
             93.8936   -12.3   18.8  
   94.86559999999999     8.6   13.4  
   95.91709999999999     0.0   17.0  
             96.8593   -11.6   13.7  
            268.2649   -52.2   17.1  
            269.2403   -29.0   15.3  
  293.17150000000004   -13.3   15.5  
  296.20070000000004   -14.1   10.6  
            355.0305   -40.9   10.6  
            407.8708   -76.1   13.7  
            409.8648   -28.3   10.9  
            627.2124   -49.2   17.6  
   710.0124999999999   -42.6   12.7  
   710.9364999999999   -47.6   10.5  
   711.9178999999999   -43.1   11.4  
            738.0124   -31.0   15.0  
            801.8856   -26.4   14.4  
            802.9094   -20.5   14.5  
   975.2368999999999   138.8   14.2  
  1009.1762999999999   100.3   15.0  
           1033.1652    66.4    8.3  
           1034.0282    69.3    9.6  
  1036.1545999999998    74.9   11.6  
           1069.0379    56.6    9.8  
           1069.9722    51.3    8.4  
           1071.0924    59.7   11.8  
           1072.0353    51.1    8.5  
           1304.2703    -7.4   11.2  
           1307.2744    -1.3    7.6  
           1337.2274   -27.3    6.1  
           1359.1965   -39.3   14.1  
  1393.0466999999999   -26.7   15.2  
