#    z        m     m_err
 0.014    14.42     0.23
 0.016    15.65     0.22
 0.016    15.37      0.3
 0.016    14.83     0.22
 0.018    15.42     0.21
  0.02    15.18      0.2
 0.024    16.07      0.2
 0.026    16.14     0.19
 0.026    16.34      0.2
  0.03    16.74     0.19
  0.03    16.33      0.2
 0.035    16.71     0.19
 0.036    16.66      0.2
 0.043    17.03     0.18
 0.045    17.64     0.18
 0.049    17.17     0.18
  0.05    17.73     0.18
  0.05    17.39     0.18
 0.052    17.53     0.18
 0.063    18.26     0.18
 0.071     18.4     0.18
 0.075    18.35     0.18
 0.079    18.16     0.18
 0.088    18.93      0.2
 0.101    19.12     0.17
 0.125    19.47     0.19
 0.172    20.29     0.17
  0.18    20.48     0.17
  0.32    21.96     0.17
 0.374     23.6     0.18
 0.388     22.6     0.18
   0.4    22.57     0.18
 0.416    22.63     0.18
  0.43    22.52     0.17
  0.43    23.09     0.19
  0.45    22.63     0.22
  0.45    22.66      0.2
  0.45    23.11     0.18
 0.465    23.35     0.22
 0.472    22.99     0.18
  0.48     22.9     0.19
  0.49    23.11     0.18
 0.495    22.78     0.18
 0.498    23.74     0.23
 0.526    23.09     0.19
  0.57     23.3     0.18
 0.579    23.38     0.18
  0.58    23.57      0.2
 0.581    23.16     0.18
 0.615    23.38     0.22
 0.657     23.8     0.19
 0.828    24.49     0.46
  0.83    24.38     0.18
