t       y
 1      0.474
 2      0.281
 3      1.227
 4      1.523
 5     -0.831
 6     -0.978
 7      0.169
 8       0.04
 9       0.76
10      0.847
11      0.106
12     -1.814
13      -1.16
14      0.249
15     -1.054
16     -0.359
17     -0.865
18      0.206
19     -0.926
20      2.294
21      0.786
22      0.522
23      -1.04
24     -0.181
25      -1.47
26     -1.837
27      0.523
28      0.605
29     -1.595
30     -0.413
31      1.275
32     -1.644
33     -0.225
34     -1.017
35      0.817
36     -2.064
37     -0.103
38      1.878
39      0.625
40      1.418
41      0.464
42     -1.182
43     -1.319
44      1.354
45     -1.784
46     -0.989
47      -1.52
48      1.239
49      0.369
50      0.695
51      1.291
52      0.978
53     -0.592
54     -0.986
55     -1.005
56     -1.268
57     -0.571
58      1.128
59       0.64
60      0.144
61     -1.468
62      -0.71
63     -1.486
64     -0.129
