# energy    count
    0.05       27
    0.15       25
    0.25       13
    0.35       20
    0.45       18
    0.55       19
    0.65       20
    0.75       25
    0.85       24
    0.95       23
    1.05       19
    1.15       16
    1.25       21
    1.35       29
    1.45       16
    1.55       23
    1.65       19
    1.75       23
    1.85       19
    1.95       24
    2.05       16
    2.15       21
    2.25       21
    2.35       38
    2.45       41
    2.55       37
    2.65       30
    2.75       32
    2.85       17
    2.95       12
    3.05       28
    3.15       15
    3.25       15
    3.35       16
    3.45       31
    3.55       20
    3.65       22
    3.75       21
    3.85       14
    3.95       16
    4.05       26
    4.15       21
    4.25       25
    4.35       14
    4.45       17
    4.55       15
    4.65       21
    4.75       21
    4.85       23
    4.95       21
